,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_colision,cantidad_de_involucrados,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,luminosidad,luz_artificial,estado_ambiental,visibilidad,semaforo
96,125020,2021-11-15,08:19:00,Urbana,Avenida,AV. MAIPU,RECONQUISTA,,,1.0,1,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,
97,130966,2021-11-15,07:20:00,Urbana,Avenida,AV. MAIPU,,,,0.0,1,0.0,1,0.0,,1,Asfalto,Apto,"Despejada, Seca",Día,NO,Despejado,Buena,Sin Semáforo
98,132578,2021-11-15,10:48:00,Urbana,Avenida,AV. ARMENIA,DEPARTAMENTO DE MERCEDES,,,1.0,1,0.0,2,0.0,Angulo,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
99,91683,2021-11-15,09:20:00,Urbana,Calle,9 DE julio,PARAGUAY,-2.746.723,-5.882.650,1.0,1,0.0,2,0.0,Alcance,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
100,119119,2021-11-14,23:00:00,Urbana,Avenida,AV. ARMENIA,,,,3.0,0,0.0,3,0.0,Alcance,3,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,Funciona
101,121710,2021-11-13,20:40:00,Urbana,Calle,RIO MIRIÑAY,LOS TOBAS,-2.751.215,-5.881.393,2.0,0,0.0,2,0.0,,2,Asfalto,Apto,,Noche,NO,Despejado,Buena,Sin Semáforo
102,122550,2021-11-13,01:20:00,Urbana,Avenida,AV. CENTENARIO,,,,2.0,0,0.0,2,0.0,Angulo,2,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,
103,124201,2021-11-13,09:50:00,Urbana,Avenida,AV. INDEPENDENCIA,TACUARI,,,2.0,0,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Funciona
104,124202,2021-11-12,11:15:00,Urbana,Calle,LISANDRO SEGOVIA,,,,0.0,1,0.0,1,0.0,,1,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,
105,128583,2021-11-12,08:12:00,Urbana,Avenida,AV. CENTENARIO,,,,2.0,1,0.0,1,1.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,
106,124189,2021-11-12,17:45:00,Urbana,Ruta Nacional,12,,-2.751.512,-5.876.947,1.0,0,1.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,,
107,129561,2021-11-12,17:35:00,Urbana,Avenida,AV MAIPU,,,,2.0,0,0.0,2,0.0,,2,Asfalto,,Despejada,Día,,Despejado,Buena,
108,91689,2021-11-12,13:50:00,Urbana,Avenida,AV MAIPU,FALUCHO,-2.748.199,-5.882.695,1.0,1,0.0,2,0.0,Angulo,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,
109,129568,2021-11-12,10:55:00,Urbana,Calle,BELGRANO,,,,2.0,0,0.0,1,0.0,Frontal,1,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,
110,112197,2021-11-11,13:13:00,Urbana,Avenida,AV. CUBA,YUGOSLAVIA,-2.750.470,-5.879.563,1.0,1,0.0,2,0.0,Angulo,2,Hormigón,Apto,,Día,SI,Despejado,Buena,Sin Semáforo
111,120742,2021-11-11,17:05:00,Urbana,Ruta Provincial,RUTA 5,,,,0.0,2,0.0,2,0.0,Angulo,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
112,122952,2021-11-11,08:00:00,Urbana,Avenida,Av Maipu,Gdor Conte,-2.748.848,-5.882.235,1.0,1,0.0,2,0.0,,2,Asfalto,Apto,"Con charcos o inundada, Mojada",Día,NO,Lluvia,Lluvia,
113,131726,2021-11-11,17:45:00,Urbana,Semiautopista/Autovía,RUTA 12,AV MAIPU,-2.752.129,-5.876.690,2.0,0,0.0,2,0.0,Alcance,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,
114,115937,2021-11-10,20:30:00,Urbana,Avenida,AV ARMENIA,AMBROSETTI,-2.746.714,-5.880.939,0.0,2,0.0,2,0.0,,2,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,Sin Semáforo
115,96786,2021-11-10,07:00:00,Urbana,Avenida,AV CHACABUCO,Y RIVADAVIA,-2.747.677,-5.881.422,1.0,1,0.0,2,0.0,,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Funciona
116,106223,2021-11-08,09:45:00,Urbana,Avenida,AV ARMENIA,ESTADOS UNIDOS,-2.746.751,-5.881.293,2.0,0,0.0,2,0.0,Alcance,2,Hormigón,Apto,"Despejada, Seca",Día,NO,Despejado,Buena,Funciona
117,119948,2021-11-08,09:28:00,Urbana,Calle,9 DE julio,MENDOZA,,,1.0,1,0.0,1,1.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Funciona
118,119130,2021-11-08,18:25:00,Urbana,Avenida,AV. PEDRO FERRÉ,CHILE,,,1.0,1,0.0,1,1.0,Lateral,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Funciona
119,109612,2021-11-07,07:40:00,Urbana,Calle,GENERAL PAZ,GOBERNADPR CONTE,-2.747.967,-5.882.402,2.0,0,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
