,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_unico,cantidad_de_involucrados,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,luminosidad,luz_artificial,estado_ambiental,visibilidad,semaforo
266,48902,2018-09-05,06:50:00,Urbana,Avenida,AVENIDA VERA,SAN JUAN,-2.746.170,-5.883.633,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,,Amanecer,SI,Despejado,Buena,Sin Semáforo
267,49076,2018-11-07,18:00:00,Urbana,Avenida,RIO CHICO,UNNE,-2.746.057,-5.877.980,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Atardecer,NO,Despejado,Buena,Sin Semáforo
268,48901,2018-09-02,04:40:00,Urbana,Avenida,AVENIDA ARMENIA,19 DE mayo,-2.746.792,-5.880.506,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Mojada,Noche,SI,Lluvia,Lluvia,
269,48909,2018-09-06,10:00:00,Urbana,Avenida,MORENO,ESPAÑA,-2.747.389,-5.882.986,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,,Día,NO,Despejado,Buena,Sin Semáforo
270,49112,2018-11-25,10:00:00,Urbana,Calle,AV. JUAN DOMINGO PERON,,-2.748.695,-5.880.986,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
271,49139,2018-12-05,06:30:00,Urbana,Calle,2 DE abril,COSQUIN,-2.749.421,-5.882.834,2,0,0,2,0,Despiste,2,Asfalto,Apto,Seca,Amanecer,NO,Despejado,Buena,Sin Semáforo
272,49000,2018-10-09,11:40:00,Urbana,Calle,SAN MARTIN,SAN LORENZO,-2.747.044,-5.883.207,2,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
273,48805,2018-08-03,07:10:00,Urbana,Ruta Provincial,RUTA 5,VIUDEZ,-2.748.515,-5.877.535,0,1,0,1,0,Despiste,1,Asfalto,Apto,Seca,Amanecer,NO,Despejado,Buena,Sin Semáforo
274,48841,2018-08-12,11:55:00,Urbana,Calle,GUTEMBERG,LA MADRID,-2.748.232,-5.883.212,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,SI,Despejado,Buena,Sin Semáforo
275,48874,2018-08-27,11:25:00,Urbana,Avenida,AV ARTIGAS,BOLIVAR,-2.747.280,-5.881.902,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,"Despejada, Seca",Noche,SI,Despejado,Buena,Sin Semáforo
276,49086,2018-11-14,19:30:00,Urbana,Calle,AV. ARMENIA,POMAR,-2.746.827,-5.880.386,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Atardecer,NO,Despejado,Buena,Funciona
277,48800,2018-08-01,12:30:00,Urbana,Avenida,chacabuco,ALBERTI,-2.748.764,-5.881.634,0,2,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,"Despejada, Seca",Día,NO,Despejado,Buena,Sin Semáforo
278,48885,2018-08-30,13:00:00,Urbana,Calle,VELEZ SARFIELD,AV. PUJOL,-2.746.847,-5.882.013,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,,,NO,Despejado,Buena,Sin Semáforo
279,49156,2018-12-10,22:45:00,Urbana,Calle,RUTA PROVINCIAL N° 5,VIUDES,-2.748.494,-5.877.591,1,1,0,1,1,Atropello a peatón/es,2,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,Sin Semáforo
280,48862,2018-08-23,08:00:00,Rural,Ruta Nacional,12,RIO CHICO,-2.745.965,-5.876.574,2,0,0,2,0,Colisión entre vehículos,2,Tierra,Apto,Seca,Día,NO,Nublado,Buena,Sin Semáforo
281,49039,2018-10-25,09:15:00,Urbana,Avenida,AV INDEPENDENCIA,MEDRANO,-2.748.137,-5.879.833,2,0,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Funciona
282,48893,2018-08-30,19:30:00,Rural,Ruta Provincial,5,,-2.749.032,-5.875.645,1,1,0,1,1,Atropello a peatón/es,2,Asfalto,Apto,Seca,Atardecer,NO,Nublado,Buena,Sin Semáforo
283,49119,2018-11-28,17:40:00,Urbana,Avenida,AV AYACUCHO,CASTELLI,-2.747.224,-5.880.830,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Despejada,Amanecer,NO,Nublado,Buena,Funciona
284,48849,2018-08-17,14:00:00,Urbana,Avenida,AV ALFONSIN,GORRITI,-2.747.658,-5.878.928,0,1,0,1,0,Despiste,1,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
285,48880,2018-08-29,14:30:00,Urbana,Avenida,ARTIGAS,AV-. PEDRO FERRE,-2.747.800,-5.881.979,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Funciona
286,48999,2018-10-09,12:50:00,Urbana,Avenida,AVENIDA ARMENIA,MONTEAGUDO,-2.746.689,-5.879.072,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,,Seca,Día,NO,Despejado,Buena,Sin Semáforo
287,48838,2018-08-11,12:00:00,Urbana,Calle,COLOMBIA,VIRASORO,-2.746.815,-5.881.621,2,0,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
288,49064,2018-11-06,07:00:00,Urbana,Calle,SAN MARTIN,BRASIL,-2.747.100,-5.882.436,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
289,48801,2018-08-01,15:30:00,Urbana,Avenida,AV. SARMIENTO,Rafaela,-2.749.630,-5.883.242,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
290,48845,2018-08-16,13:00:00,Urbana,Calle,MEXICO,25 DE mayo,-2.746.589,-5.881.414,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,,,Día,,Despejado,Buena,Intermitente
